Device details,,,,,CO2e data,,,,,,,,,,,,,,,,,,,,,,,,,Lifespan data,,,Weight data,,,Notes
ORDS Product Category,Family (as defined by CO2 source),order,model,model (grouped),Primary / CO2 Source (e.g. Manufacturer),Primary / CO2 source - external url,Primary / CO2 source - drive url,filename,Study name,Primary / CO2 Source date,CO2 Footprint (total) kg,,Total Embodied CO2 kg,Total Embodied CO2 % (as % of total footprint),CO2 Footprint (production) kg,CO2 Footprint (production) %,CO2 Footprint (transport) kg,CO2 Footprint (transport) %,CO2 Footprint (use) kg,CO2 Footprint (use) %,CO2 Footprint (EoL) kg,CO2 Footprint (EoL) %,DQI - Temporal representativeness,DQI - Technical representativeness,DQI - Reliability,DQI score - Temporal representativeness,DQI score - Technical representativeness,DQI score - Reliability,DQI score - TOTAL,Lifespan source - drive url,Lifespan source date,Lifespan (years),Weight source - drive url,Weight source date,Product Weight (kg),Notes
Aircon/Dehumidifier,Air Conditioner,41,LSN182CE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN182CE.pdf,https://drive.google.com/file/d/1o2YZCY96Oqu8LRXSLilAscOLUI5BruWp/view?usp=drivesdk,LSN182CE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,42,LSN182HE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN182HE.pdf,https://drive.google.com/file/d/1tLFJyadDVZKn2luDYr9VLwCpBA-KaYCR/view?usp=drivesdk,LSN182HE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,43,LSN242CE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN242CE.pdf,https://drive.google.com/file/d/1HT3Ci56MQz-gSObZfcXyh3cLyRAWn1rJ/view?usp=drivesdk,LSN242CE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,44,LSN242HE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN242HE.pdf,https://drive.google.com/file/d/1qEWWWR5LetuQEaA8mJ611QxZcFlJlBj5/view?usp=drivesdk,LSN242HE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,45,LSN305HV,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN305HV.pdf,https://drive.google.com/file/d/1XrIEVWWEAe9HdOCDj0w_5ueoO7gly2iE/view?usp=drivesdk,LSN305HV.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,46,LT0813CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT0813CNR.pdf,https://drive.google.com/file/d/1tdpS-Ur6LNPkBdk2ijvb6A3zUOH-vwKS/view?usp=drivesdk,LT0813CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,47,LT081CER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT081CER.pdf,https://drive.google.com/file/d/1mxGaGzAVUczarvfaSXUNrOL_xTAN5TFj/view?usp=drivesdk,LT081CER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,48,LT1013CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT1013CNR.pdf,https://drive.google.com/file/d/15ezkUBq9F_R9RFNHr1cCycQaU2jbpiYc/view?usp=drivesdk,LT1013CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,49,LT101CNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT101CNR.pdf,https://drive.google.com/file/d/1LsxitxwoBBaSAz8o89MYTTkG5cG2VD2J/view?usp=drivesdk,LT101CNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,50,LT1033HNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LT1033HNR.pdf,https://drive.google.com/file/d/1x4_zEDMpwaKX9sNZWwbzhJdnl_zRSiQD/view?usp=drivesdk,LT1033HNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
